character,category,meaning,onyomi,kunyomi,joyo_level,jlpt_level,wk_level
彼,jōyō,he,か,かれ,9,N3,35
私,jōyō,"I, private",し,わたし,6,N4,14
女,jōyō,woman,じょ,"おんな, め",1,N5,1
人,jōyō,person,"にん, じん",ひと,1,N5,1
日,jōyō,"sun, day","にち, じつ","ひ, か, び",1,N5,2
行,jōyō,go,こう,"い.く, おこな.う",2,N5,5
事,jōyō,"action, matter, thing",じ,こと,3,N4,9
見,jōyō,see,けん,み,1,N5,4
出,jōyō,exit,しゅつ,"で.る, だ.す",1,N5,2
一,jōyō,one,いち,ひと.*,1,N5,1
言,jōyō,say,"げん, ごん","い.う, こと",2,N4,5
時,jōyō,"time, o'clock, hour",じ,とき,2,N5,7
生,jōyō,life,"せい, しょう","い.きる, なま, う.* なま, は, き",1,N5,3
間,jōyō,"interval, interval of time, time interval","かん, けん","あいだ, ま",2,N5,8
分,jōyō,"part, minute, separate","ぶん, ふん, ぶ","わ.かる, わ.ける",2,,3
大,jōyō,"big, large","たい, だい",おお,1,N5,1
本,jōyō,"book, origin, real, main",ほん,もと,1,N5,2
気,jōyō,"energy, spirit","き, け",いき,1,N5,4
何,jōyō,what,か,"なに, なん",2,N5,5
手,jōyō,hand,しゅ,て,1,N4,2
君,jōyō,buddy,くん,きみ,3,N3,8
子,jōyō,"child, kid","し, す",こ,1,N5,2
話,jōyō,"talk, speak",わ,"はな.す, はなし",2,N5,8
会,jōyō,meet,かい,あ.う,2,N4,5
今,jōyō,now,こん,いま,2,N5,3
自,jōyō,self,"じ, し",,2,N4,5
思,jōyō,"think, thought",し,おも.う,2,N4,6
中,jōyō,"middle, in, inside, center",ちゅう,なか,1,N5,2
家,jōyō,"house, home",か,"いえ, や, うち",2,N4,7
年,jōyō,year,ねん,とし,1,N5,4
来,jōyō,"come, next",らい,く.る,2,N5,5
学,jōyō,"study, learn, learning",がく,まな.ぶ,1,N5,5
上,jōyō,"above, up, over",じょう,"うえ, あ, のぼ, うわ",1,N5,1
知,jōyō,know,ち,し.る,2,N4,6
物,jōyō,thing,"ぶつ, もつ",もの,3,N4,9
合,jōyō,"suit, join","ごう, がっ","あ, あい",2,N3,8
車,jōyō,car,しゃ,くるま,1,N5,4
前,jōyō,"front, before",ぜん,まえ,2,N5,6
々,dōnojiten,"repetition, iteration mark",のま,のま,0,,2
者,jōyō,"someone, somebody",しゃ,もの,3,N4,8
金,jōyō,gold,きん,かね,1,N5,5
達,jōyō,"attain, plural",たつ,たち,4,N3,18
入,jōyō,enter,にゅう,"はい.る, い.れる",1,N5,1
持,jōyō,hold,じ,も,3,N4,9
方,jōyō,"direction, way",ほう,かた,2,N4,3
少,jōyō,"few, a little",しょう,すこ.し,2,N4,3
語,jōyō,language,ご,かた.る,2,N5,10
仕,jōyō,doing,し,,3,N4,4
書,jōyō,"write, writing",しょ,か.く,2,N5,16
食,jōyō,"eat, meal",しょく,"た.べる, く",2,N5,6
意,jōyō,idea,い,,3,N4,11
明,jōyō,bright,めい,"あ, あか.るい",2,N4,6
好,jōyō,like,こう,"す.き, この.む",4,N3,11
下,jōyō,"below, down, under, beneath","か, げ","した, さが, くだ, お",1,N5,1
国,jōyō,country,こく,くに,2,N5,6
部,jōyō,"part, department, club",ぶ,へ,3,N3,9
立,jōyō,stand,りつ,た.つ,1,N4,2
要,jōyō,need,よう,い.*,4,N3,9
聞,jōyō,hear,ぶん,き.く,2,N5,10
問,jōyō,problem,もん,と.う,3,N4,13
当,jōyō,"right, success, correct",とう,あ.たる,2,N3,5
全,jōyō,"all, whole",ぜん,"すべ.て, まった.く",3,N3,6
通,jōyō,pass through,つう,"とお.る, かよ.う",2,N4,7
